[ost_a.smc]
3E: ff12_over; Game Over; Final Fantasy XII; Hitoshi Sakimoto, Hayato Matsuo, Masaharu Iwata; Gi Nattak; Thomash Lee
3F: lal_bird; The Bird Flies in the Sky, The Fish Swims in the River; Live A Live; Yoko Shimomura; Gi Nattak; mfvitools
40: z3_mountain; Death Mountain; The Legend of Zelda: A Link to the Past; Koji Kondo; Gi Nattak; Haakon Marthinsen
41: sgf_journey; Opening of a Journey; Saga Frontier; Kenji Ito; Gi Nattak; Masterlink
42: ff7_day; On That Day 5 Years Ago; Final Fantasy VII; Nobuo Uematsu; Gi Nattak; E. Khalo
43: ff_shop; Shop Theme; Final Fantasy I; Nobuo Uematsu; Gi Nattak; VGMusic
44: ff8_plank; Only A Plank Between One And Perdition; Final Fantasy VIII; Nobuo Uematsu; Gi Nattak; lopiko
45: lal_psycho; Psycho Killing; Live A Live; Yoko Shimomura; emberling; mfvitools
46: sd3_medicine; Strange Medicine; Seiken Densetsu 3; Hiroki Kikuta; Gi Nattak; mfvitools
47: ff5_ronka; Machina Ronka; Final Fantasy V; Nobuo Uematsu; Gi Nattak; FF5→FF6 MCS2
48: bld_toronto; Town of Toronto; Brainlord; Masanao Akahori; Jackimus; Jackimus
49: ffmq_doom; Doom Castle; Final Fantasy Mystic Quest; Ryuji Sasai, Yasuhiro Kawakami; Gi Nattak; Franky Chan
4B: xnb_mechonis; Mechonis Field; Xenoblade; ACE+; Jackimus; Jackimus
4C: totr_earth; Earth Bound; Treasure of the Rudras; Ryuji Sasai; Gi Nattak; AlphaDraconis
4D: ct_tyrano; Tyrano Lair; Chrono Trigger Beta; Yasunori Mitsuda; Gi Nattak; SPC injection
4E: kaw_teamwork; Teamwork; King Aurther's World; Justin Scharvona; Gi Nattak; JILost
4F: trnm_underworld; Underworld; Terranigma; Masanori Hikichi; Gi Nattak; Gigasoft
50: ff10_seymour; Fight With Seymour; Final Fantasy X; Nobuo Uematsu; Jackimus; Jackimus
51: cstvn_sotn_painting; Lost Painting; Castlevania SOTN; Michiru Yamane; Gi Nattak; NE2ndNOW
52: cfh_chocobo; Chocobo From Hell; Chocobo From Hell; Andrew Thompson; Gi Nattak; Andrew Thompson
53: vp_nostalgia; Nostalgia Into Hope; Valkyrie Profile; Motoi Sakuraba; Gi Nattak; Ed76638
54: ct_mountain; Singing Mountain; Chrono Trigger; Yasunori Mitsuda; Gi Nattak; Tiffany
55: z3_world; Dark World Dungeon; The Legend of Zelda: A Link to the Past; Koji Kondo; Gi Nattak; Haakon Marthinsen
56: som_ghost; Rose and Ghost; Secret of Mana; Hiroki Kikuta; Gi Nattak; FF5→FF6 MCS2
57: ff_town; Town; Final Fantasy I; Nobuo Uematsu; Gi Nattak; VGMusic
58: rs_minstrel; Minstrel's Song; Romancing Saga Minstrel Song; Kenji Ito; Gi Nattak; SaGaUpLoader
59: swom_decision; Time of Decision; Sword of Mana; Kenji Ito; Gi Nattak; Black_Wing
5A: sm64_lullaby; Piranha Plant Lullaby; Super Mario 64; Koji Kondo; Gi Nattak; Jarel Jones
5B: som_memories; Kind Memories; Secret of Mana; Hiroki Kikuta; Gi Nattak; flamingspinach
5C: evo_ocean; Ocean of Origin; E.V.O. Search for Eden; Koichi Sugiyama; Gi Nattak; Alluro95
5D: sgf_trick; Trick; Saga Frontier; Kenji Ito; Tsushiy; unknown
5E: ct_dome; Unused Keeper's Dome; Chrono Trigger Beta; Yasunori Mitsuda; Gi Nattak; SPC injection
